index,id,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Departure Delay in Minutes,Arrival Delay in Minutes,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,satisfaction
0,70172,Male,Loyal Customer,13,Personal Travel,Eco Plus,460,25,18,3,4,3,1,5,3,5,5,4,3,4,4,5,5,neutral or dissatisfied
1,5047,Male,disloyal Customer,25,Business travel,Business,235,1,6,3,2,3,3,1,3,1,1,1,5,3,1,4,1,neutral or dissatisfied
2,110028,Female,Loyal Customer,26,Business travel,Business,1142,0,0,2,2,2,2,5,5,5,5,4,3,4,4,4,5,satisfied
3,24026,Female,Loyal Customer,25,Business travel,Business,562,11,9,2,5,5,5,2,2,2,2,2,5,3,1,4,2,neutral or dissatisfied
4,119299,Male,Loyal Customer,61,Business travel,Business,214,0,0,3,3,3,3,4,5,5,3,3,4,4,3,3,3,satisfied
5,111157,Female,Loyal Customer,26,Personal Travel,Eco,1180,0,0,3,4,2,1,1,2,1,1,3,4,4,4,4,1,neutral or dissatisfied
6,82113,Male,Loyal Customer,47,Personal Travel,Eco,1276,9,23,2,4,2,3,2,2,2,2,3,3,4,3,5,2,neutral or dissatisfied
7,96462,Female,Loyal Customer,52,Business travel,Business,2035,4,0,4,3,4,4,5,5,5,5,5,5,5,4,5,4,satisfied
8,79485,Female,Loyal Customer,41,Business travel,Business,853,0,0,1,2,2,2,4,3,3,1,1,2,1,4,1,2,neutral or dissatisfied
9,65725,Male,disloyal Customer,20,Business travel,Eco,1061,0,0,3,3,3,4,2,3,3,2,2,3,4,4,3,2,neutral or dissatisfied
10,34991,Female,disloyal Customer,24,Business travel,Eco,1182,0,0,4,5,5,4,2,5,2,2,3,3,5,3,5,2,neutral or dissatisfied
11,51412,Female,Loyal Customer,12,Personal Travel,Eco Plus,308,0,0,2,4,2,2,1,2,1,1,1,2,5,5,5,1,neutral or dissatisfied
12,98628,Male,Loyal Customer,53,Business travel,Eco,834,28,8,1,4,4,4,1,1,1,1,1,1,3,4,4,1,neutral or dissatisfied
13,83502,Male,Loyal Customer,33,Personal Travel,Eco,946,0,0,4,2,4,3,4,4,4,4,4,5,2,2,2,4,satisfied
14,95789,Female,Loyal Customer,26,Personal Travel,Eco,453,43,35,3,2,3,2,2,3,2,2,4,3,2,2,1,2,neutral or dissatisfied
15,100580,Male,disloyal Customer,13,Business travel,Eco,486,1,0,2,1,2,3,4,2,1,4,2,1,4,1,3,4,neutral or dissatisfied
16,71142,Female,Loyal Customer,26,Business travel,Business,2123,49,51,3,3,3,3,4,4,4,4,5,3,4,5,4,4,satisfied
17,127461,Male,Loyal Customer,41,Business travel,Business,2075,0,10,4,4,2,4,4,4,4,5,5,5,5,3,5,5,satisfied
18,70354,Female,Loyal Customer,45,Business travel,Business,2486,7,5,4,4,4,4,3,4,5,5,5,5,5,3,5,4,satisfied
19,66246,Male,Loyal Customer,38,Personal Travel,Eco,460,17,18,2,3,3,2,5,3,5,5,1,2,4,3,2,5,neutral or dissatisfied
20,39076,Male,Loyal Customer,9,Business travel,Eco,1174,0,4,2,4,2,4,2,2,1,2,1,5,3,4,3,2,neutral or dissatisfied
21,22434,Female,Loyal Customer,17,Personal Travel,Eco,208,0,0,3,1,3,3,5,3,5,5,2,5,3,3,4,5,neutral or dissatisfied
22,43510,Female,Loyal Customer,43,Personal Travel,Eco,752,52,29,3,5,3,5,5,4,5,3,3,3,5,3,3,4,neutral or dissatisfied
23,114090,Female,Loyal Customer,58,Personal Travel,Eco,2139,0,0,4,5,4,5,4,3,4,4,4,4,4,2,4,2,neutral or dissatisfied
24,105420,Female,disloyal Customer,23,Business travel,Eco,452,54,44,5,0,5,1,1,5,1,1,4,5,5,3,5,1,satisfied
25,102956,Male,Loyal Customer,57,Personal Travel,Eco,719,27,28,4,4,4,1,5,4,5,5,3,2,4,4,5,5,neutral or dissatisfied
26,18510,Female,Loyal Customer,33,Business travel,Business,1561,0,0,1,1,1,1,1,5,3,4,4,4,3,5,4,2,satisfied
27,14925,Female,Loyal Customer,49,Business travel,Eco Plus,315,0,8,4,4,4,4,2,2,1,4,4,4,4,2,4,2,satisfied
28,118319,Female,Loyal Customer,36,Business travel,Business,3347,18,12,3,1,1,1,1,2,1,3,3,3,3,2,3,2,neutral or dissatisfied
29,75460,Male,Loyal Customer,22,Personal Travel,Eco,2342,19,0,3,2,3,3,3,3,1,3,2,4,3,4,2,3,neutral or dissatisfied
30,48492,Female,Loyal Customer,31,Business travel,Business,819,0,0,4,4,4,4,5,5,5,5,5,4,3,1,5,5,satisfied
31,27809,Female,disloyal Customer,15,Business travel,Eco,1043,3,0,2,2,2,3,5,2,5,5,3,1,4,2,4,5,neutral or dissatisfied
32,70594,Female,Loyal Customer,35,Business travel,Business,2611,109,120,4,5,4,4,4,4,4,3,3,4,5,4,3,4,satisfied
33,30089,Female,Loyal Customer,67,Personal Travel,Eco,1192,18,24,4,5,4,1,2,4,5,5,5,4,3,5,5,5,neutral or dissatisfied
34,58779,Male,disloyal Customer,37,Business travel,Business,1182,9,0,3,3,3,4,1,3,1,1,4,1,3,1,4,1,neutral or dissatisfied
35,79659,Female,Loyal Customer,40,Business travel,Eco,349,0,1,1,4,4,4,1,1,1,1,3,5,3,3,3,1,neutral or dissatisfied
36,110293,Female,disloyal Customer,34,Business travel,Business,883,0,0,3,4,4,3,5,4,2,5,5,4,5,4,5,5,neutral or dissatisfied
37,48014,Male,Loyal Customer,40,Personal Travel,Eco Plus,550,23,20,4,3,4,2,2,4,2,2,5,1,4,3,4,2,neutral or dissatisfied
38,96517,Female,Loyal Customer,47,Personal Travel,Eco,302,23,31,4,4,4,3,2,4,5,4,4,4,4,4,4,4,satisfied
39,64685,Male,disloyal Customer,41,Business travel,Business,354,0,0,1,1,1,2,1,1,1,1,3,3,4,4,4,1,neutral or dissatisfied
40,64138,Male,Loyal Customer,39,Business travel,Business,1734,0,0,4,4,4,4,3,5,5,4,4,4,4,4,4,3,satisfied
41,60373,Female,disloyal Customer,25,Business travel,Business,1452,9,23,3,5,3,4,3,3,3,3,4,4,5,5,5,3,neutral or dissatisfied
42,14849,Male,Loyal Customer,41,Business travel,Business,296,0,0,0,0,0,3,2,5,3,4,4,4,4,4,4,3,satisfied
43,28319,Female,Loyal Customer,38,Business travel,Business,2882,0,0,3,3,3,3,2,1,4,5,5,5,5,2,5,4,satisfied
44,103012,Female,Loyal Customer,50,Business travel,Business,460,1,15,1,1,1,1,3,5,5,3,3,3,3,4,3,5,satisfied
45,124114,Male,Loyal Customer,29,Business travel,Business,529,4,0,1,1,1,1,5,5,5,5,4,2,5,5,4,5,satisfied
46,107794,Female,Loyal Customer,22,Personal Travel,Business,349,0,0,2,4,2,1,4,2,4,4,4,5,4,4,5,4,neutral or dissatisfied
47,81983,Female,Loyal Customer,13,Business travel,Business,1522,0,0,1,1,1,1,1,1,1,1,3,5,3,1,4,1,neutral or dissatisfied
48,53164,Male,Loyal Customer,54,Business travel,Business,612,8,0,3,3,3,3,5,2,3,5,5,5,5,4,5,3,satisfied
49,82042,Male,Loyal Customer,21,Personal Travel,Eco,1454,0,0,2,2,2,3,5,2,5,5,2,3,3,1,3,5,neutral or dissatisfied
50,72127,Male,Loyal Customer,28,Business travel,Eco,731,14,8,2,1,1,1,2,2,2,2,3,3,2,3,3,2,neutral or dissatisfied
51,113046,Male,Loyal Customer,27,Business travel,Business,2076,0,1,3,3,3,3,4,4,4,4,3,4,4,4,5,4,satisfied
52,1050,Female,Loyal Customer,69,Business travel,Eco,309,0,0,5,5,5,5,1,2,3,5,5,5,5,4,5,2,satisfied
53,54886,Male,Loyal Customer,35,Personal Travel,Eco,775,1,0,2,3,2,4,4,2,4,4,4,4,3,4,1,4,neutral or dissatisfied
54,125918,Female,Loyal Customer,60,Personal Travel,Eco,861,10,10,2,2,2,3,1,3,4,4,4,2,4,4,4,4,neutral or dissatisfied
55,7467,Female,Loyal Customer,45,Business travel,Business,3334,51,48,2,4,2,2,4,5,5,4,4,4,4,3,4,5,satisfied
56,78972,Female,Loyal Customer,57,Business travel,Business,2496,0,5,0,0,0,1,3,4,5,5,5,5,5,4,5,5,satisfied
57,126625,Male,Loyal Customer,40,Business travel,Business,602,0,0,5,5,5,5,2,5,5,5,5,5,5,3,5,4,satisfied
58,114501,Female,disloyal Customer,38,Business travel,Business,308,39,26,3,3,3,3,4,3,4,4,1,1,4,2,3,4,neutral or dissatisfied
59,114813,Male,disloyal Customer,23,Business travel,Eco,446,4,0,2,4,2,1,4,2,4,4,4,2,4,5,5,4,neutral or dissatisfied
60,32167,Male,disloyal Customer,39,Business travel,Business,216,0,0,2,2,2,3,3,2,3,3,2,1,4,2,4,3,neutral or dissatisfied
61,68001,Female,Loyal Customer,52,Business travel,Business,3475,0,0,2,2,2,2,4,4,4,4,4,4,4,4,4,3,satisfied
62,117052,Male,disloyal Customer,25,Business travel,Eco,646,13,1,2,1,2,2,4,2,3,4,4,4,3,2,2,4,neutral or dissatisfied
63,8661,Female,Loyal Customer,48,Business travel,Business,2501,0,0,3,3,3,3,5,4,4,5,5,5,5,4,5,4,satisfied
64,57165,Female,Loyal Customer,59,Business travel,Business,2227,30,15,5,5,5,5,2,4,4,4,4,4,4,3,4,4,satisfied
65,78610,Male,Loyal Customer,25,Business travel,Business,1426,4,0,3,3,3,3,4,5,4,4,5,4,4,4,4,4,satisfied
66,51058,Male,Loyal Customer,38,Personal Travel,Eco,190,0,0,2,4,2,3,4,2,4,4,3,2,4,4,5,4,neutral or dissatisfied
67,92027,Male,Loyal Customer,46,Business travel,Business,1532,0,0,2,2,2,2,2,4,5,5,5,5,5,5,5,4,satisfied
68,115534,Male,Loyal Customer,50,Business travel,Eco,308,18,12,2,1,1,1,2,2,2,2,3,2,2,2,3,2,neutral or dissatisfied
